657|4.02|3111
53416|3.77|24
55548|3.78|323
61832|3.72|90
70139|3.74|339
70825|4.01|1464
72652|4.21|111
75337|3.92|160
90725|3.84|99
104151|3.31|78
110466|3.95|431
124808|3.49|48
145884|3.99|285
147526|3.98|726
154747|4.15|60
158268|4.31|4172
159874|3.67|142
167550|3.79|34
167936|4.13|789
176623|3.85|163
179536|4.09|56
189360|4.17|179
195294|4|9
202765|3.93|133
202782|4.21|1773
211320|3.49|37
212769|4.34|911
226864|3.86|675
235693|3.86|25
261931|4.4|1447
263530|4.14|837
273279|3.89|256
279226|3.82|11
295584|3.73|459
300042|4.32|2426
301500|3.88|333
308671|3.92|171
312460|4.32|5778
320781|4.12|920
324503|3.79|276
336232|4.22|972
342142|3.94|1560
373323|4.04|375
374373|3.9|565
375663|4.37|1089
376341|4.22|1730
376651|4.24|415
377139|3.58|287
377512|3.21|191
379217|4.47|3550
379371|3.66|171
380187|3.96|621
381936|3.98|1024
382134|4.25|231
427473|4.18|3572
427520|3.4|239
427559|3.91|338
427578|4.5|7229
427734|3.6|293
427741|4.37|493
427971|4.06|3894
427986|4.19|531
428213|3.79|364
428298|4.45|297
428343|3.63|384
428575|3.86|74
428633|3.71|290
428676|3.91|158
428799|3.68|247
428863|3.5|397
428892|3.69|214
428918|3.49|83
429008|3.66|121
429009|3.55|48
429021|3.58|25
429024|3.73|281
429044|3.83|79
429080|3.18|19
429366|3.49|651
430185|3.82|66
431613|4.02|69
431661|4|9
432605|3.39|330
432621|3.56|580
432759|3.51|266
432882|3.62|56
433181|3.82|230
433289|3.63|83
433443|3.88|200
433452|4.4|189
433662|3.9|91
433773|3.48|410
433814|4.31|226
434780|4.35|337
435098|3.75|28
435521|3.66|88
436167|3.65|1375
436837|4.33|275
437051|3.45|68
437628|3.32|34
440367|3.83|21
440405|3.7|20
440419|3.87|47
440436|2.92|13
440492|3.35|49
440520|3.21|19
440541|3.72|16
440668|3.72|36
440695|3.45|11
440698|3.25|56
440747|4|13
444788|3.87|211
445511|3.84|196
445664|3.55|186
446681|4.35|2919
447034|3.97|29
448560|4.1|25
449358|4.19|116
449503|3.9|76
449553|3.95|73
450536|3.86|118
450976|3.5|4
451340|4|235
451886|3.89|9
451887|4|6
451888|3.5|4
452814||0
453008||0
453019|3.5|3
453447|3.83|99
454061|3.42|540
454801|2.71|12
454891|4|8
454946|3.82|131
455105|4.1|224
455116|4|1
455128|3.88|144
456659|3.73|11
457641|3.6|42
457643|4.43|7
457646|5|1
457651|3.93|111
458368|3.79|116
460009||0
460011||0
460013|5|2
460015|3.21|14
460017|5|1
460018||0
460021|4|1
460946|2|1
462660|3.49|39
462706||0
462712|5|1
462713||0
462714|3|1
462717|5|1
462718|5|1
463051|3.99|346
463750|4.05|57
463788|3.85|89
463986|3|1
464963|3.93|72
464980|3.75|26
465042|3.76|50
465067|3.31|31
465096|3.51|53
465161|3.68|56
465310|3.91|34
465313|3.62|55
467831|4|1
468424|4.1|20
469312|3.65|65
469597|3.75|4
469601|3.67|3
470049|3.5|15
471052|3.69|219
471146|4.04|40
471236|3.68|20
471344|3.67|57
471352|3.85|97
471394|3.94|101
471459|3.66|44
472148|3.85|24
473529||0
473531||0
473534||0
474431|3.57|14
474446|3.37|523
475748|4.4|5
475924|3.74|149
476012|3.59|63
476026|4.41|23
478219||0
478264||0
480119|3.66|67
480178|3.5|38
480671|3.67|6
484047|3.14|21
484048|5|1
484819|3.52|347
484861|3.83|56
486337|3.96|114
488534|3.83|3
489987||0
489988||0
490524|4|1
490525||0
490526||0
490527||0
491062||0
493390||0
493817|3.5|2
493821||0
493826|4|1
495059||0
495137|4.07|834
496003||0
496482|3.49|161
498078|3.34|123
498669|4.19|49
499889|5|1
499890|5|1
499891|5|2
499892|5|1
500048|4.14|43
501024|3.56|99
501050|3.51|56
501526|3.38|8
501891|3.98|20
502033|3.77|84
502045|3.69|105
502622|3.22|9
503416|4.05|54
503746|3.72|9
503769|3.4|10
503773|4.25|4
503818|3.61|114
503834|4.1|86
503912|3.45|53
503915|3.93|14
503960|3.79|28
503999|3.75|69
504023|3.71|38
504048|3.88|340
505235|3.84|652
505263||0
505264||0
505266||0
506304|3.61|22
506352|3.63|19
506389||0
506891|4.44|9
506895|3.5|10
507785||0
508278|3|2
509698|3.95|46
509842||0
509843||0
510965|3|1
511066|3.75|4
511067||0
511093|3.74|34
511352|3.74|219
512380|4.19|47
512544|3.71|21
512821|3.73|11
513286|3.94|9
515337|3.83|6
523556||0
523558|3|1
524628|3.82|77
524637||0
525056|3.73|41
525821|3.55|112
525823|3.98|80
525846|3.59|55
525847|3.98|33
525879|3.64|33
525946|3.8|297
526008|3|7
526147|3.65|10
527432|3.67|50
527501|3.76|38
530386||0
531990||0
531992|3.62|21
531993|3.93|27
531994|2.5|1
532056|3|1
532057||0
532058||0
532059||0
532060|2|1
532061||0
532126|3.4|5
532585|4.5|2
532586|4.14|11
532587|4.1|5
532588||0
532589||0
532590||0
532591||0
532592||0
532850|1|1
533273|4.18|19
534388||0
534840|3.3|10
537725|3.67|3
537980|2.5|4
538086|3.5|7
538393|4|2
539412|3.83|12
539756|4.33|3
539783|3|3
540162|3.5|10
540710|3.5|2
540724|3.34|19
540775|3.83|6
541183|4|1
541948|4.4|5
542013|3.64|14
545804||0
546453|3.5|4
546703||0
546704||0
546706||0
547463|3.8|58
547532|2|1
547533||0
547534||0
547535|2.67|3
547536|2|3
547537|3.17|3
547613|4.02|158
547639|3.92|113
547867|3.48|128
548279||0
548280|4|3
548464|3.62|34
549613||0
549614||0
550640||0
550922|3.7|43
551416||0
551417||0
551418||0
552142|3.84|184
552297||0
553551||0
554380|3|1
555073||0
556516||0
557549||0
557553||0
557554|3.64|11
559382||0
559688|3.83|6
560396||0
561298|5|1
561563|3.5|2
561982|3.88|45
561989|3.83|6
562042|3.8|45
562656|3.29|7
562657||0
562658|4.39|9
562659|3.75|4
562660|3.56|9
564497||0
564791||0
565289|3.5|7
565378|3.38|26
565428|3.68|73
565645||0
565648||0
565649||0
565701|3.5|18
566994||0
567640|3.82|11
567641||0
567647||0
567648||0
567649||0
567650||0
567651|4|2
567652||0
568131|3.24|27
568886||0
568887||0
568888||0
568889||0
569964|3|1
569965|3|5
569966||0
569967||0
569968|3.4|5
570046|3.67|3
570049||0
570065|3.83|9
571948|3|2
571949|2|1
571950||0
572452|3.72|229
573530|2|2
573986||0
573987||0
573989|3|3
574083||0
575355|3.58|78
575939||0
575940|4.5|2
575941||0
576446||0
576448|4|1
577716||0
577717||0
578990||0
580073|4|14
582268||0
582269||0
582271||0
582272||0
582511|3.75|12
583060||0
584421||0
584422|4|1
584423|3|1
585543|5|2
588143|3.57|14
589699||0
589878|3.85|30
590048|3|7
590767|3.84|57
591921|3.81|8
592053|3.83|90
595195|3.73|11
599934|4.13|8
600013|4.2|5
606295|3.88|70
608503||0
608906|3.75|28
608908|4|11
611689|3.69|35
612060|3|7
615363|3.25|4
619199||0
620524|3.1|5
621935|3.75|10
622602||0
622762|3.55|57
626797|3.56|9
628705||0
628706||0
629073||0
633294|4|11
634700|4.25|4
636717|3.47|67
641244|3.79|65
641245|3.28|41
645219||0
652098|3.61|19
652139|3.17|6
652837|4.17|6
655979|3.4|15
656725|3.56|9
673897|3.92|13
673926|3.56|8
677574|2.63|12
680100|2.92|13
680154|4.56|17
689228|3.59|73
689229|3.7|15
689266|2.79|19
689351|3.52|32
689362|3.75|8
689628|3.13|26
697874|3.15|40
697997|3.88|8
698692|3.46|12
698942|4.2|5
699113|4|2
699329||0
699773|3.46|34
708646|2.5|4
735346|3.8|74
750351|3.55|11
766734|3.54|67
776952|3.9|1533
804013|3.91|11
804233|3.35|20
804529|3.68|17
805147|4|4
834162||0
835445||0
883292|2.75|10
884189|3.96|13
888373|3.33|3
893635|4.5|2
936071|3.28|23
1058243|3.5|2
1084764|3.33|3
1101452|4.04|225
1124835|5|1
1176428|3.88|108
1202662|4.01|36
1236408||0
1236740||0
1238009|3.5|4
1244658|4.07|777
1257216|3.72|16
1280634|4.25|2
1421303|4.13|530
1421897|3.92|293
1522336|3.67|3
1561653|4.27|482
1564129|3.95|33
1592782||0
1614890|3.95|381
1615443|4|1
1708426|3.92|1090
1760846|3.59|11
1785259|3.92|241
1953223|3.8|5
2083320|3.65|34
2118531|3.17|6
2177307|5|2
2230918||0
2243147||0
2250612|4.25|6
2338648||0
2716683||0
2744803||0
2744806||0
2744888||0
2744921||0
2745008||0
2745084||0
2745176||0